,pressure_A,pressure_B,pressure_C,velocity_A,velocity_B,velocity_C
Normal,76520.7353,38311.3134,189.4932,2.95,2.9532,2.9417
Leak,76551.7748,36154.9875,173.7907,3.0,2.9094,2.8685
Blockage,88312.3423,50207.6385,132.6431,4.4443,4.4445,4.4446
